DATA_NAME,SORT,TRIAL,DURATION[ms]
500000/500000/4_almost,radix,6,746
500000/500000/4_almost,radix,7,706
500000/500000/4_almost,radix,8,767
500000/500000/4_almost,radix,9,972
1000000/1000000/0,radix,0,1605
1000000/1000000/0,radix,1,1748
1000000/1000000/0,radix,2,1653
1000000/1000000/0,radix,3,1695
1000000/1000000/0,radix,4,1786
1000000/1000000/0,radix,5,1668
1000000/1000000/0,radix,6,1849
1000000/1000000/0,radix,7,1695
1000000/1000000/0,radix,8,1721
1000000/1000000/0,radix,9,1764
1000000/1000000/0_almost,radix,0,1701
1000000/1000000/0_almost,radix,1,1704
1000000/1000000/0_almost,radix,2,1641
1000000/1000000/0_almost,radix,3,1804
1000000/1000000/0_almost,radix,4,1541
1000000/1000000/0_almost,radix,5,1908
1000000/1000000/0_almost,radix,6,1740
1000000/1000000/0_almost,radix,7,1661
1000000/1000000/0_almost,radix,8,1646
1000000/1000000/0_almost,radix,9,1646
1000000/1000000/1,radix,0,1746
1000000/1000000/1,radix,1,1854
1000000/1000000/1,radix,2,1761
1000000/1000000/1,radix,3,1659
1000000/1000000/1,radix,4,1857
1000000/1000000/1,radix,5,1666
1000000/1000000/1,radix,6,1691
1000000/1000000/1,radix,7,1762
1000000/1000000/1,radix,8,1783
1000000/1000000/1,radix,9,1870
1000000/1000000/1_almost,radix,0,1764
1000000/1000000/1_almost,radix,1,1687
1000000/1000000/1_almost,radix,2,1595
1000000/1000000/1_almost,radix,3,1724
1000000/1000000/1_almost,radix,4,1659
1000000/1000000/1_almost,radix,5,1797
1000000/1000000/1_almost,radix,6,1707
1000000/1000000/1_almost,radix,7,1959
1000000/1000000/1_almost,radix,8,1755
1000000/1000000/1_almost,radix,9,1967
1000000/1000000/2,radix,0,1933
1000000/1000000/2,radix,1,1803
1000000/1000000/2,radix,2,1685
1000000/1000000/2,radix,3,1614
1000000/1000000/2,radix,4,1644
1000000/1000000/2,radix,5,1558
1000000/1000000/2,radix,6,1692
1000000/1000000/2,radix,7,1657
1000000/1000000/2,radix,8,1729
1000000/1000000/2,radix,9,1530
1000000/1000000/2_almost,radix,0,1543
1000000/1000000/2_almost,radix,1,1616
1000000/1000000/2_almost,radix,2,1576
1000000/1000000/2_almost,radix,3,1694
1000000/1000000/2_almost,radix,4,1516
1000000/1000000/2_almost,radix,5,1541
1000000/1000000/2_almost,radix,6,1653
1000000/1000000/2_almost,radix,7,1651
1000000/1000000/2_almost,radix,8,1753
1000000/1000000/2_almost,radix,9,1620
1000000/1000000/3,radix,0,1765
1000000/1000000/3,radix,1,1620
1000000/1000000/3,radix,2,1662
1000000/1000000/3,radix,3,1803
1000000/1000000/3,radix,4,1698
1000000/1000000/3,radix,5,1649
1000000/1000000/3,radix,6,1567
1000000/1000000/3,radix,7,1799
1000000/1000000/3,radix,8,1602
1000000/1000000/3,radix,9,1587
1000000/1000000/3_almost,radix,0,1935
1000000/1000000/3_almost,radix,1,1655
1000000/1000000/3_almost,radix,2,1700
1000000/1000000/3_almost,radix,3,1606
1000000/1000000/3_almost,radix,4,1655
1000000/1000000/3_almost,radix,5,1719
1000000/1000000/3_almost,radix,6,1585
1000000/1000000/3_almost,radix,7,1698
1000000/1000000/3_almost,radix,8,1553
1000000/1000000/3_almost,radix,9,1722
1000000/1000000/4,radix,0,1659
1000000/1000000/4,radix,1,1649
1000000/1000000/4,radix,2,1678
1000000/1000000/4,radix,3,1651
1000000/1000000/4,radix,4,1688
1000000/1000000/4,radix,5,1599
1000000/1000000/4,radix,6,1720
1000000/1000000/4,radix,7,1558
1000000/1000000/4,radix,8,1657
